match_name,url,match_country,venue,team1_name,team1_score,team2_name,team2_score,pid,name,team_name,out_by,runs_scored,balls_faced,fours,sixes,strike_rate,overs,maiden,runs_given,wickets,no_balls,wide_balls,CROST,extras
"India vs Australia, 1st ODI",60035/ind-vs-aus-1st-odi-australia-tour-of-india-2023,india-2023,"Wankhede Stadium, Mumbai",Australia,188,India,191,11808,Shubman Gill,India,c Labuschagne b Starc,20,31,3,0,64.52,0,0,0,0,0,0,0,0
"India vs Australia, 1st ODI",60035/ind-vs-aus-1st-odi-australia-tour-of-india-2023,india-2023,"Wankhede Stadium, Mumbai",Australia,188,India,191,10276,Ishan Kishan,India,lbw b Stoinis,3,8,0,0,37.50,0,0,0,0,0,0,0,0
"India vs Australia, 1st ODI",60035/ind-vs-aus-1st-odi-australia-tour-of-india-2023,india-2023,"Wankhede Stadium, Mumbai",Australia,188,India,191,1413,Virat Kohli,India,lbw b Starc,4,9,1,0,44.44,0,0,0,0,0,0,0,0
"India vs Australia, 1st ODI",60035/ind-vs-aus-1st-odi-australia-tour-of-india-2023,india-2023,"Wankhede Stadium, Mumbai",Australia,188,India,191,7915,Suryakumar Yadav,India,lbw b Starc,0,1,0,0,0.00,0,0,0,0,0,0,0,0
"India vs Australia, 1st ODI",60035/ind-vs-aus-1st-odi-australia-tour-of-india-2023,india-2023,"Wankhede Stadium, Mumbai",Australia,188,India,191,8733,KL Rahul,India,not out,75,91,7,1,82.42,0,0,0,0,0,0,0,0
"India vs Australia, 1st ODI",60035/ind-vs-aus-1st-odi-australia-tour-of-india-2023,india-2023,"Wankhede Stadium, Mumbai",Australia,188,India,191,9647,Hardik Pandya,India,c Green b Stoinis,25,31,3,1,80.65,5,0,29,1,0,1,0,0
"India vs Australia, 1st ODI",60035/ind-vs-aus-1st-odi-australia-tour-of-india-2023,india-2023,"Wankhede Stadium, Mumbai",Australia,188,India,191,587,Ravindra Jadeja,India,not out,45,69,5,0,65.22,9,0,46,2,0,0,0,0
"India vs Australia, 1st ODI",60035/ind-vs-aus-1st-odi-australia-tour-of-india-2023,india-2023,"Wankhede Stadium, Mumbai",Australia,188,India,191,8683,Thakur,India,None,-1,0,0,0,0,2,0,12,0,0,0,0,0
"India vs Australia, 1st ODI",60035/ind-vs-aus-1st-odi-australia-tour-of-india-2023,india-2023,"Wankhede Stadium, Mumbai",Australia,188,India,191,8292,Kuldeep Yadav,India,None,-1,0,0,0,0,8,1,48,1,0,0,0,0
"India vs Australia, 1st ODI",60035/ind-vs-aus-1st-odi-australia-tour-of-india-2023,india-2023,"Wankhede Stadium, Mumbai",Australia,188,India,191,10808,Siraj,India,None,-1,0,0,0,0,5.4,1,29,3,0,0,0,0
"India vs Australia, 1st ODI",60035/ind-vs-aus-1st-odi-australia-tour-of-india-2023,india-2023,"Wankhede Stadium, Mumbai",Australia,188,India,191,7909,Shami,India,None,-1,0,0,0,0,6,2,17,3,0,2,0,0
"India vs Australia, 1st ODI",60035/ind-vs-aus-1st-odi-australia-tour-of-india-2023,india-2023,"Wankhede Stadium, Mumbai",Australia,188,India,191,8497,Head,Australia,b Siraj,5,10,1,0,50.00,0,0,0,0,0,0,0,0
"India vs Australia, 1st ODI",60035/ind-vs-aus-1st-odi-australia-tour-of-india-2023,india-2023,"Wankhede Stadium, Mumbai",Australia,188,India,191,6250,Mitchell Marsh,Australia,c Siraj b Ravindra Jadeja,81,65,10,5,124.62,0,0,0,0,0,0,0,0
"India vs Australia, 1st ODI",60035/ind-vs-aus-1st-odi-australia-tour-of-india-2023,india-2023,"Wankhede Stadium, Mumbai",Australia,188,India,191,2250,Steven Smith,Australia,c Rahul b Hardik Pandya,22,30,4,0,73.33,0,0,0,0,0,0,0,0
"India vs Australia, 1st ODI",60035/ind-vs-aus-1st-odi-australia-tour-of-india-2023,india-2023,"Wankhede Stadium, Mumbai",Australia,188,India,191,10182,Labuschagne,Australia,c Ravindra Jadeja b Kuldeep Yadav,15,22,1,0,68.18,0,0,0,0,0,0,0,0
"India vs Australia, 1st ODI",60035/ind-vs-aus-1st-odi-australia-tour-of-india-2023,india-2023,"Wankhede Stadium, Mumbai",Australia,188,India,191,10637,Josh Inglis,Australia,b Shami,26,27,1,1,96.30,0,0,0,0,0,0,0,0
